ID,Soc_ID,Var_ID,Value,Code_ID,Comment,Source,sub_case,year,source_coded_data,admin_comment
11100,B328,B004,Hunting,B004-1,,kinietz1947,,1800,Binford_2001_Table_5.01,
11101,B329,B004,Hunting,B004-1,,boas1895a;speck1922;speckanddexter1951;wallisandwallis1955,,1700,Binford_2001_Table_5.01,
11102,B330,B004,Hunting,B004-1,,ewers1955;teit1930;turneyhigh1937,,1860,Binford_2001_Table_5.01,
11103,B331,B004,Hunting,B004-1,,hickerson1967;landes1937a,,1880,Binford_2001_Table_5.01,
11104,B332,B004,Hunting,B004-1,,bishop1969;bishop1978;grant1924;hallowell1938;hallowell1955;skinner1911,,1870,Binford_2001_Table_5.01,
11105,B333,B004,Fishing (aquatic),B004-3,,chamberlain1892;dawson1891;teit1900;teit1905,,1850,Binford_2001_Table_5.01,
11106,B334,B004,Hunting,B004-1,,dunning1959;grant1924;rogers1969,,1940,Binford_2001_Table_5.01,
11107,B335,B004,Hunting,B004-1,,grant1924;rogers1963a;rogers1963b;rogers1969,,1900,Binford_2001_Table_5.01,
11108,B336,B004,Hunting,B004-1,,goldman1940;jenness1943;smithnd,,1865,Binford_2001_Table_5.01,
11109,B337,B004,Hunting,B004-1,,cameron1890;grant1890;hickerson1962,,1800,Binford_2001_Table_5.01,
11110,B338,B004,Hunting,B004-1,,lips1947a;morantz1983;rogers1963a;rogers1969;rogers1972;rogers1973;speck1923,,1880,Binford_2001_Table_5.01,
11111,B339,B004,Hunting,B004-1,,dunning1959;rogers1969,,1850,Binford_2001_Table_5.01,
11112,B340,B004,Hunting,B004-1,,morantz1983;rogers1969,,1900,Binford_2001_Table_5.01,
11113,B341,B004,Hunting,B004-1,,boas1895a;rogersandblack1976,,1890,Binford_2001_Table_5.01,
11114,B342,B004,Hunting,B004-1,,lane1952;tanner1944,,1880,Binford_2001_Table_5.01,
11115,B343,B004,Hunting,B004-1,,dennison1981;grant1936;jenness1937,,1880,Binford_2001_Table_5.01,
11116,B344,B004,Hunting,B004-1,,goddard1916;grant1936;ives1985;keith1960;nicks1980;ridington1982,,1850,Binford_2001_Table_5.01,
11117,B345,B004,Hunting,B004-1,,helm1961;ives1985;janes1983;mackenzie1966,,1860,Binford_2001_Table_5.01,
11118,B346,B004,Hunting,B004-1,,honigmann1949;honigmann1954,,1920,Binford_2001_Table_5.01,
11119,B347,B004,Hunting,B004-1,,boas1901;emmons1911;maclachlan1981,,1870,Binford_2001_Table_5.01,
11120,B348,B004,Fishing (aquatic),B004-3,,boasandfarrand1899;lane1981,,1880,Binford_2001_Table_5.01,
11121,B349,B004,Hunting,B004-1,,grant1936;jenness1937;jenness1943,,1880,Binford_2001_Table_5.01,
11122,B35,B004,Fishing (aquatic),B004-3,,,,1950,Binford_2001_Table_5.01,
11123,B350,B004,Hunting,B004-1,,gillespie1981,,1800,Binford_2001_Table_5.01,
11124,B351,B004,Hunting,B004-1,,adney1900;crowandobley1981,,1880,Binford_2001_Table_5.01,
11125,B352,B004,Hunting,B004-1,,helm1961;mackenzie1966;savishinsky1974;savishinskyandhara1981;whiting1964,,1860,Binford_2001_Table_5.01,
11126,B353,B004,Fishing (aquatic),B004-3,,honigmann1949;honigmann1956b;honigmann1981;mason1967,,1900,Binford_2001_Table_5.01,
